ticker,name,mu_post_ann,vol_ann,persist,nu,med_5y,p5_5y,p95_5y,xirr_5y,ploss_5y,med_10y,p5_10y,p95_10y,xirr_10y,ploss_10y,med_20y,p5_20y,p95_20y,xirr_20y,ploss_20y,med_30y,p5_30y,p95_30y,xirr_30y,ploss_30y
VWCE.DE,VWCE All-World,10.226584390744616,15.042777163208113,0.9494572876539665,4.969988900311015,10216.261773417751,5241.16695038678,19201.026112469306,0.428829840413103,47.825,10329.362876806508,4048.302611590976,25551.45777263138,0.32458073876295845,47.599999999999994,10730.774328592644,2947.094737608566,38255.698411899546,0.35327568210890004,46.175,11165.975756407366,2346.556503670512,56076.34618823025,0.368297162337039,46.075
CSPX.L,S&P 500 UCITS,11.026789770134144,49.37454749604084,0.9975176272884704,3.965672833588888,8284.077015159502,766.0699822517219,53057.813564534714,-3.6950022224856327,56.25,6689.067740799195,160.58084034601055,106016.68223044045,-3.9413321719867445,58.85,4099.437973024201,-63.818580679502695,182136.26484688555,-4.360738053284141,63.949999999999996,2415.819895698167,-395.9001006557906,343153.5133170789,-4.624794850311886,67.55
IWDA.L,MSCI World,9.396897238891032,53317.307837727596,1.0000000404544143,3.651051035896492,2.6508106033055173e+103,-2.4318988019501816e+117,2.1104436524679527e+117,7.667887629845838e+21,49.1,3.925888706139228e+199,-8.039277547308295e+227,9.46134140969567e+227,3.6257161276544983e+21,50.0,-inf,,,inf,50.5,-inf,,,inf,50.8
EIMI.L,EM IMI,7.646376366405562,17.853922876237924,0.965134577979965,7.795540004507862,11023.65360253573,5284.071847222196,22904.331148950994,1.9682842003669876,41.099999999999994,12685.860937771216,4537.602789193731,35993.229260027176,2.4075543483347728,34.675,15735.37570206121,3634.278139753298,65016.29455958935,2.2925148533734063,30.4,19625.394072544063,3044.6707685875695,112978.35145559098,2.2729099150745613,26.924999999999997
IFSW.L,MSCI Quality,9.542649111051348,15.855504573532942,0.9807256861162738,5.630524329917093,13386.861217373535,6988.998202383139,25639.104461460745,6.007294877726532,23.3,17707.040937078236,6858.8733776892495,44566.04891954148,5.88016249240555,15.5,30671.718038864004,8138.041718218727,112930.24509319785,5.763765642187568,8.075000000000001,55256.59680149192,11677.259093376197,268182.3112777297,5.863473062964264,3.4000000000000004
IWMO.L,MSCI Momentum,11.11721119810382,18.11015151298397,0.9772099551221868,5.4846186436778,14095.855605562661,6719.9584858840035,28493.16825048923,7.107106859991386,21.825,19559.075920035983,7098.865658006909,52728.96048391826,6.938683489223951,13.325000000000001,38107.47671795587,8601.187638521038,160370.9195970971,6.9179220489711035,6.8500000000000005,79209.58213957847,13041.036423508167,436752.18360443384,7.141878720575834,3.1
WSML.L,MSCI Small Cap,8.920081971935609,20.582511242369772,0.9826536152035507,6.033807245440015,12921.23484962341,5741.8603082821855,29295.651115361285,5.259379129969166,29.725,17460.083299939783,5029.298232265079,52160.416319486154,5.731557845163704,22.625,29468.77833448929,5640.314030092724,150302.7840473459,5.552398557190497,13.850000000000001,52593.82915948187,7165.048720779999,385780.33286342124,5.689333635503702,8.975
IWVL.L,MSCI Value,9.186537139158943,16.868194420641693,0.9729447169904295,5.8484455440108585,12975.168880226214,6398.929369902085,25622.346776290855,5.347104610496123,27.275,17472.321860448057,6477.645146587495,43283.01557715376,5.738966710666804,17.625,28310.039110448808,7534.082980945529,111725.9363071718,5.340899745923844,10.15,49135.65029873772,8661.465171714099,259001.67421393268,5.4499934113829696,6.35
QQQ,Nasdaq-100,12.752200846436681,21.63854146381854,0.9818151876161676,5.717853518628821,15158.511790928285,6171.818791550318,35640.157835106045,8.675416468227382,22.225,22563.76016447596,6169.4386410781135,79702.50119162959,8.477869600256692,15.35,49795.76062951421,8652.461842451652,289683.2257259899,8.357660180234493,6.9,113739.00689096034,13122.411602356082,1033979.3719499602,8.441865755813915,3.375
VGT,Vanguard IT,13.147787944903452,21.923068460524544,0.982834626992714,6.235826281015345,14865.119567970582,5930.551791497027,36027.067955177394,8.251439789597947,23.5,23494.934717283824,6341.733306013779,77500.91803310972,8.917439787101177,14.075,49665.491770195404,7976.579038228933,290807.12757690373,8.34346901315508,7.025,107979.81339679411,11731.97865494269,954540.1554751223,8.254199376186788,3.875
